chapter,code,title,classKind,parent_code,uri,definition
02,2B67,Tumeurs malignes de la glande parotide,category,,http://id.who.int/icd/release/11/2024-01/mms/1640200163,"Les tumeurs des glandes salivaires peuvent afficher une diversité morphologique considérable parmi les différents types de tumeurs (et parfois au sein d'une même masse tumorale). La présence de tumeurs hybrides, la dédifférenciation et la possibilité de voir certaines tumeurs bénignes évoluer vers la malignité peuvent en outre brouiller l'interprétation histopathologique. Ces particularités, auxquelles s'ajoute la rareté relative d'un certain nombre de tumeurs, peuvent parfois rendre le diagnostic délicat, malgré l'abondance des entités tumorales nommées. Le recours croissant aux biopsies préopératoires par aspiration à l'aiguille fine doit également être pris en considération : en effet, des modifications artéfactuelles peuvent se superposer aux tumeurs. Malheureusement, la variabilité morphologique de ces tumeurs se retrouve dans les profils immunocytochimiques, si bien que les colorants spécifiques sont rarement utiles dans les diagnostics de routine des néoplasmes épithéliaux des glandes salivaires."
02,2B67.0,Adénocarcinome de la glande parotide,category,2B67,http://id.who.int/icd/release/11/2024-01/mms/318430338,
02,2B67.1,Carcinome épidermoïde de la glande parotide,category,2B67,http://id.who.int/icd/release/11/2024-01/mms/552798341,
02,2B67.Y,Autres tumeurs malignes de la glande parotide,category,2B67,http://id.who.int/icd/release/11/2024-01/mms/1640200163/other,
02,2B67.Z,"Tumeurs malignes de la glande parotide, sans précision",category,2B67,http://id.who.int/icd/release/11/2024-01/mms/1640200163/unspecified,
02,2B68,Tumeurs malignes des glandes sousmandibulaires ou sublinguales,category,,http://id.who.int/icd/release/11/2024-01/mms/480928417,"Les tumeurs des glandes salivaires peuvent afficher une diversité morphologique considérable parmi les différents types de tumeurs (et parfois au sein d'une même masse tumorale). La présence de tumeurs hybrides, la dédifférenciation et la possibilité de voir certaines tumeurs bénignes évoluer vers la malignité peuvent en outre brouiller l'interprétation histopathologique. Ces particularités, auxquelles s'ajoute la rareté relative d'un certain nombre de tumeurs, peuvent parfois rendre le diagnostic délicat, malgré l'abondance des entités tumorales nommées. Le recours croissant aux biopsies préopératoires par aspiration à l'aiguille fine doit également être pris en considération : en effet, des modifications artéfactuelles peuvent se superposer aux tumeurs. Malheureusement, la variabilité morphologique de ces tumeurs se retrouve dans les profils immunocytochimiques, si bien que les colorants spécifiques sont rarement utiles dans les diagnostics de routine des néoplasmes épithéliaux des glandes salivaires."
02,2B68.0,Adénocarcinome des glandes sousmandibulaires ou sublinguales,category,2B68,http://id.who.int/icd/release/11/2024-01/mms/449228684,
02,2B68.1,Carcinome épidermoïde des glandes sousmandibulaires ou sublinguales,category,2B68,http://id.who.int/icd/release/11/2024-01/mms/760581878,
02,2B68.2,Autres tumeurs malignes précisées des glandes sousmaxillaires ou sublinguales,category,2B68,http://id.who.int/icd/release/11/2024-01/mms/921330276,
02,2B68.Z,"Tumeurs malignes des glandes sousmandibulaires ou sublinguales, sans précision",category,2B68,http://id.who.int/icd/release/11/2024-01/mms/480928417/unspecified,
